Scientific_Name,Scientific_Name_upper,Common_Name,Common_Name_upper,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,Marine,Atlantic Region,MAR Region,RV appropiate? ,Not RV appropiate - comments ,Wild_Species
Acipenser brevirostrum,ACIPENSER BREVIROSTRUM,Shortnose Sturgeon,SHORTNOSE STURGEON,,Special Concern,5/1/2015,,Special Concern,Schedule 1,3/5/2009,"New Brunswick, Nova Scotia",Fishes (freshwater),,Yes,Yes,Yes,Yes,with LOTS of caveats,"Vulnerable (National, Atlantic, New Brunswick)"
Acipenser oxyrinchus,ACIPENSER OXYRINCHUS,Atlantic Sturgeon,ATLANTIC STURGEON,Maritimes populations,Threatened (Maritimes and St. Lawrence populations),5/6/2011,,No Status,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Yes,Yes,Yes,Yes,Brent Law: In terms of presence absence you can see foraging marks which means presence on the tidal flats at low water and can walk out or fly a drone.  The problem is the marks may be a few weeks or month old.  If you need presence/absence on a day scale then RV survey but if you just need to know if they occupy an area then you may be able to use other methods and the answer is No.  ,"Imperiled (BNM Nova Scotia); Vulnerable (B National, MN Atlantic, BNM New Brunswick, B Quebec);  Unrankable (NM National); Unranked (NM Quebec)"
Alasmidonta varicosa,ALASMIDONTA VARICOSA,Brook Floater,BROOK FLOATER,,Special Concern,4/26/2009,,Special Concern,Schedule 1,3/8/2013,"New Brunswick, Nova Scotia",Molluscs,,Yes,Yes,,No,River mussel,NA
Alopias vulpinus,ALOPIAS VULPINUS,Thresher shark,THRESHER SHARK,,No Status,,,No Status,,,,Fishes - Poissons,,,,,,,"Vulnerable (B Atlantic, B National); Unranked (NM National); Unrankable (NM Atlantic)"
Amblyraja radiata,AMBLYRAJA RADIATA,Thorny Skate,THORNY SKATE,,Special Concern,5/4/2012,,No Status,No schedule,,"Prince Edward Island, Nunavut, Arctic Ocean, Atlantic Ocean, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (marine),Addition,Yes,Yes,Yes,Yes,,"Vulnerable (National, Atlantic)"
Ammocrypta pellucida,AMMOCRYPTA PELLUCIDA,Eastern Sand Darter,EASTERN SAND DARTER,Quebec populations,Threatened,11/27/2009,Quebec populations,Threatened,Schedule 1,6/5/2003,Quebec,Fishes (freshwater),Status change,Yes,Yes,No,,,NA
Anarhichas denticulatus,ANARHICHAS DENTICULATUS,Northern Wolffish,NORTHERN WOLFFISH,,Threatened,11/25/2012,,Threatened,Schedule 1,6/5/2003,"Arctic Ocean, Atlantic Ocean",Fishes (marine),Status change,Yes,Yes,Yes,Yes,with LOTS of caveats,"Imperiled (National, Atlantic)"
Anarhichas lupus,ANARHICHAS LUPUS,Atlantic Wolffish,ATLANTIC WOLFFISH,,Special Concern,11/25/2012,,Special Concern,Schedule 1,6/5/2003,"Arctic Ocean, Atlantic Ocean",Fishes (marine),Status change,Yes,Yes,Yes,Yes,with caveats: not best way to sample this species,"Vulnerable (National, Atlantic)"
Anarhichas minor,ANARHICHAS MINOR,Spotted Wolffish,SPOTTED WOLFFISH,,Threatened,11/25/2012,,Threatened,Schedule 1,6/5/2003,"Arctic Ocean, Atlantic Ocean",Fishes (marine),Status change,Yes,Yes,Yes,Yes,,"Imperiled (National, Atlantic)"
Anguilla rostrata,ANGUILLA ROSTRATA,American Eel,AMERICAN EEL,,Threatened,5/4/2012,,No Status,No schedule,,"Prince Edward Island, Atlantic Ocean, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Yes,Yes,Yes,Yes,,"Imperiled (N National, NM Nova Scotia); Vulnerable (NM Atlantic, NM Quebec, NM Newfoundland); Apparently Secure (M National)"
